City/Town,Democratic,Republican,All Others,Blanks
Pepperell,"2,875","1,522",2,130
Peru,177,67,0,13
Petersham,394,218,0,41
Phillipston,416,245,0,30
Pittsfield,"10,990","2,313",0,"1,064"
Plainfield,222,54,0,9
Plainville,"1,918",961,0,101
Plymouth,"13,773","6,583",16,859
Plympton,852,437,1,54
Princeton,996,634,0,97
Provincetown,"1,713",177,0,66
Quincy,"20,791","6,885",28,"1,567"
Randolph,"7,990","1,886",12,581
Raynham,"2,981","1,517",0,255
Reading,"6,921","2,907",4,416
Rehoboth,"2,405","1,498",0,234
Revere,"8,298","3,007",13,928
Richmond,597,142,0,48
Rochester,"1,378",769,0,123
Rockland,"4,550","1,835",7,263
Rockport,"2,647",905,0,182
Rowe,126,52,0,14
Rowley,"1,481",962,6,113
Royalston,302,141,0,34
Russell,345,172,0,41
Rutland,"1,824","1,066",0,145
Salem,"10,284","2,823",15,744
Salisbury,"1,958",812,5,136
Sandisfield,186,72,0,15
Sandwich,"5,618","3,407",2,422
Saugus,"6,846","2,850",2,428
Savoy,165,42,0,13
Scituate,"5,423","2,904",2,337
Seekonk,"3,348","1,667",2,315
Sharon,"5,797","1,537",9,475
Sheffield,911,313,0,104
Shelburne,691,173,1,52
Sherborn,"1,408",699,1,114
Shirley,"1,505",704,0,92
Shrewsbury,"8,212","4,250",2,695
Shutesbury,808,94,0,71
Somerset,"5,334","1,588",1,435
Somerville,"17,813","3,206",47,"1,264"
S. Hadley,"4,635","1,719",8,328
Southampton,"1,531",834,2,147
Southborough,"2,784","1,428",0,153
Southbridge,"3,511","1,102",1,529
Southwick,"1,867","1,340",4,165
Spencer,"2,577","1,218",5,174
Springfield,"23,769","5,847",52,"2,978"
Sterling,"1,969","1,281",3,140
Stockbridge,747,157,0,84
Stoneham,"6,328","2,551",5,267
Stoughton,"7,239","2,392",1,579
Stow,"2,016",966,1,134
Sturbridge,"2,314","1,243",3,173
Sudbury,"5,349","2,172",4,305
Sunderland,"1,016",226,2,73
Sutton,"2,213","1,407",4,221
Swampscott,"4,554","1,416",5,337
Swansea,"3,935","1,526",2,336
Taunton,"10,683","3,415",8,"1,356"
Templeton,"1,774",842,0,95
Tewksbury,"7,933","3,286",4,317
Tisbury,"1,296",327,0,105
Tolland,82,98,1,7
Topsfield,"1,745","1,216",137,0
Townsend,"1,969","1,304",2,115
Truro,940,236,1,47
Tyngsborough,"2,975","1,213",1,156
Tyringham,132,46,0,18
Upton,"1,729","1,059",1,118
Uxbridge,"3,023","1,751",7,254
Wakefield,"7,654","3,017",5,412
Wales,443,239,0,34
Walpole,"6,538","3,213",5,467
Waltham,"11,846","4,057",8,874
Ware,"2,245",802,3,177
Wareham,"5,248","2,165",4,330
Warren,"1,074",513,1,74
Warwick,233,71,0,20
Washington,190,48,1,16
Watertown,"8,818","2,777",16,528
Wayland,"4,564","1,549",6,330
Webster,"3,010","1,288",6,216
Wellesley,"7,548","3,334",2,557
Wellfleet,"1,245",384,1,71
Wendell,371,29,0,22
Wenham,"1,045",694,0,57
W. Boylston,"1,966",981,0,138
W. Bridgewater,"1,635","1,071",2,157
W. Brookfield,946,446,0,77
W. Newbury,"1,291",708,2,105
W. Springfield,"5,446","2,556",3,512
W. Stockbridge,513,116,0,52
W. Tisbury,"1,108",228,0,71
Westborough,"4,276","2,089",2,323
Westfield,"7,655","3,867",7,880
Westford,"5,955","2,997",6,369
Westhampton,574,246,1,58
Westminster,"1,957","1,123",2,138
Weston,"3,209","1,705",4,209
Westport,"4,052","1,485",0,380
Westwood,"4,355","2,219",0,322
Weymouth,"14,400","5,649",14,873
Whately,566,174,0,58
Whitman,"3,413","1,595",3,225
Wilbraham,"3,767","2,299",6,428
Williamsburg,976,232,0,78
Williamstown,"2,427",344,2,87
Wilmington,"5,936","2,602",1,298
Winchendon,"1,846","1,053",3,121
Winchester,"6,375","3,341",2,343
Windsor,298,86,0,21
Winthrop,"4,704","1,669",3,418
Woburn,"9,974","3,980",3,490
Worcester,"30,474","9,430",52,"2,312"
Worthington,411,128,2,34
Wrentham,"2,741","1,592",3,206
Yarmouth,"6,903","3,925",4,442
