City/Town,Republican,Democratic,All Others,Blanks
Gill,293,141,0,42
Gloucester,"5,451","4,218",8,"1,029"
Goshen,115,61,1,28
Gosnold,39,5,0,1
Grafton,"1,272","2,336",17,310
Granby,906,635,4,129
Granville,252,67,1,37
Great Barrington,"1,246",721,63,423
Greenfield,"3,461","2,519",95,685
Groton,"1,206",523,2,104
Groveland,"1,157",641,1,103
Hadley,642,776,1,191
Halifax,702,361,1,77
Hamilton,"1,814",567,6,167
Hampden,735,469,1,95
Hancock,105,43,0,25
Hanover,"2,407",996,8,160
Hanson,"1,423",686,6,126
Hardwick,315,414,2,127
Harvard,954,287,2,52
Harwich,"2,032",600,8,178
Hatfield,412,581,0,160
Haverhill,"8,143","7,529",99,"2,210"
Hawley,54,12,0,3
Heath,94,15,0,10
Hingham,"5,344","1,957",18,356
Hinsdale,220,175,0,46
Holbrook,"2,431","1,298",7,253
Holden,"3,573","1,079",28,301
Holland,171,153,0,32
Holliston,"2,619","1,332",9,153
Holyoke,"7,400","9,221",321,"1,816"
Hopedale,"1,088",698,3,170
Hopkinton,"1,322",744,5,136
Hubbardston,297,168,0,40
Hudson,"2,595","2,366",9,417
Hull,"1,751","1,352",2,284
Huntington,286,180,1,37
Ipswich,"2,517","1,184",20,377
Kingston,"1,278",695,1,172
Lakeville,957,398,2,99
Lancaster,"1,099",461,3,162
Lanesborough,445,274,15,95
Lawrence,"9,690","11,424",45,"5,172"
Lee,918,645,44,297
Leicester,"1,452","1,439",3,296
Lenox,"1,095",585,26,263
Leominster,"5,079","5,815",4,"1,366"
Leverett,175,141,6,30
Lexington,"8,222","3,668",75,642
Leyden,77,39,0,13
Lincoln,"1,548",497,17,55
Littleton,"1,483",671,8,116
Longmeadow,"3,888","2,234",10,222
Lowell,"12,774","17,470",95,"4,240"
Ludlow,"1,878","3,357",9,860
Lunenburg,"1,655",941,4,243
Lynn,"14,958","15,842",129,"3,512"
Lynnfield,"3,559","1,069",14,176
Malden,"10,880","7,868",98,438
Manchester-by-the-Sea,"1,555",554,1,120
Mansfield,"1,813","1,203",2,300
Marblehead,"7,240","2,518",14,374
Marion,956,291,8,118
Marlborough,"4,775","4,761",24,910
Marshfield,"3,104","1,567",10,161
Mashpee,339,152,2,45
Mattapoisett,"1,254",506,2,113
Maynard,"1,695","1,390",13,349
Medfield,"2,227",843,14,117
Medford,"13,729","10,076",51,"2,163"
Medway,"1,416",991,9,196
Melrose,"8,693","3,574",109,661
Mendon,644,299,0,72
Merrimac,979,451,2,11
Methuen,"6,945","5,342",12,"2,233"
Middleborough,"2,506","1,234",8,340
Middlefield,86,35,0,5
Middleton,814,398,3,132
Milford,"3,070","4,014",10,898
Millbury,"1,734","2,325",3,426
Millis,"1,303",649,3,126
Millville,253,369,0,105
Milton,"8,805","3,717",41,638
Monroe,48,29,0,5
Monson,983,994,1,160
Montague,"1,516","1,653",5,555
Monterey,144,51,0,29
Montgomery,116,52,0,16
Mount Washington,24,6,0,1
Nahant,"1,084",613,5,96
Nantucket,854,453,3,115
Natick,"7,124","3,808",141,594
Needham,"9,664","3,145",53,615
New Ashford,36,15,0,4
New Bedford,"14,463","18,478",62,"5,941"
New Braintree,141,67,0,19
New Marlborough,202,58,0,45
New Salem,132,54,0,13
Newbury,"1,133",369,1,126
Newburyport,"3,133","2,371",18,621
Newton,"23,373","13,550",378,"1,527"
Norfolk,817,370,2,87
N. Adams,"2,837","3,071",9,942
N. Andover,"3,821","2,233",12,614
N. Attleborough,"3,279","2,221",15,630
N. Brookfield,715,639,1,130
N. Reading,"2,468","1,251",3,168
Northampton,"4,437","5,056",22,890
Northborough,"1,887","1,040",11,102
Northbridge,"1,870","1,719",55,339
Northfield,718,213,1,72
Norton,"1,445",866,6,228
Norwell,"2,198",688,5,121
Norwood,"6,726","4,478",14,635
Oak Bluffs,333,185,0,102
Oakham,177,92,0,1
Orange,"1,199",596,6,128
Orleans,"1,558",173,0,90
Otis,121,58,3,45
Oxford,"1,196","1,205",55,157
Palmer,"1,433","2,292",9,611
Paxton,960,335,4,64
Peabody,"8,425","8,355",38,"1,657"
Pelham,175,164,0,10
Pembroke,"2,287","1,125",5,256
Pepperell,975,583,20,136
Peru,42,27,1,15
Petersham,287,118,1,8
Phillipston,132,84,4,12
Pittsfield,"9,083","7,280",274,"3,066"
Plainfield,68,34,3,4
Plainville,949,492,5,100
Plymouth,"3,767","2,062",130,691
Plympton,269,128,1,22
Princeton,463,121,2,35
Provincetown,562,502,15,94
Quincy,"20,418","12,547",76,"3,112"
Randolph,"5,359","3,837",21,531
Raynham,"1,467",787,2,207
Reading,"6,119","2,267",22,655
Rehoboth,"1,197",570,5,209
Revere,"8,054","7,336",70,"2,006"
Richmond,339,82,0,33
Rochester,400,147,7,52
Rockland,"2,667","1,767",6,332
Rockport,"1,905",792,6,166
Rowe,117,24,2,6
Rowley,761,265,1,82
Royalston,122,90,2,30
Russell,222,197,0,54
Rutland,652,350,3,59
Salem,"6,909","8,290",32,"2,018"
Salisbury,953,536,6,45
Sandisfield,77,67,0,24
Sandwich,"1,051",405,1,83
Saugus,"5,813","3,410",27,711
Savoy,61,50,0,13
Scituate,"4,100","1,729",16,155
Seekonk,"2,113","1,372",10,392
Sharon,"3,069","1,987",5,127
Sheffield,555,151,3,103
Shelburne,564,156,1,74
Sherborn,"1,102",203,6,45
Shirley,489,519,1,183
Shrewsbury,"4,070","2,857",10,389
Shutesbury,82,78,0,15
Somerset,"3,254","3,184",13,954
Somerville,"13,872","12,704",67,"3,565"
S. Hadley,"3,126","2,608",7,498
Southampton,583,436,2,96
Southborough,"1,355",679,6,71
Southbridge,"1,921","2,886",164,572
Southwick,860,830,1,205
Spencer,"1,504","1,679",3,336
Springfield,"16,405","24,621",684,"5,689"
Sterling,"1,071",395,6,95
Stockbridge,525,241,1,82
Stoneham,"5,065","2,602",8,353
Stoughton,"3,915","2,707",100,264
Stow,958,335,1,66
Sturbridge,867,702,2,193
Sudbury,"3,012","1,016",20,152
Sunderland,305,324,2,73
Sutton,885,552,2,131
Swampscott,"3,578","1,817",43,331
Swansea,"2,252","2,144",10,629
Taunton,"6,047","7,079",23,"1,724"
Templeton,793,830,0,156
Tewksbury,"3,476","2,693",11,457
Tisbury,613,276,4,158
Tolland,35,19,0,8
Topsfield,"1,527",380,1,56
Townsend,865,428,11,78
Truro,250,99,0,22
Tyngsborough,683,639,5,196
Tyringham,65,38,0,8
Upton,775,452,3,104
Uxbridge,"1,267","1,451",9,423
Wakefield,"6,076","3,491",34,839
Wales,111,130,0,28
Walpole,"3,992","2,062",13,366
Waltham,"10,268","7,397",225,"1,867"
Ware,980,"1,831",5,599
Wareham,"2,007","1,078",3,408
Warren,545,670,3,204
Warwick,106,54,1,20
Washington,68,32,1,15
Watertown,"8,159","6,326",25,"1,609"
Wayland,"3,816","1,489",11,146
Webster,"1,917","2,498",27,803
Wellesley,"8,118","2,636",111,563
Wellfleet,527,149,1,50
Wendell,68,61,0,16
Wenham,"1,134",283,3,55
W. Boylston,"1,554",796,8,74
W. Bridgewater,"1,543",563,5,189
W. Brookfield,556,312,1,85
W. Newbury,755,202,0,68
W. Springfield,"4,036","4,380",171,"1,048"
W. Stockbridge,241,136,0,60
W. Tisbury,156,93,1,27
Westborough,"2,649","1,216",14,152
Westfield,"4,658","5,023",5,"1,232"
Westford,"2,138","1,412",4,299
Westhampton,194,78,0,20
Westminster,949,607,6,153
Weston,"3,691",936,14,103
Westport,"1,659","1,380",4,566
Westwood,"4,171","1,290",20,227
Weymouth,"12,116","6,960",47,"1,195"
Whately,267,159,3,74
Whitman,"2,651","1,399",11,263
Wilbraham,"2,553","1,551",10,296
Williamsburg,508,296,2,55
Williamstown,"1,556",906,4,168
Wilmington,"3,406","2,099",8,396
Winchendon,908,948,4,213
Winchester,"6,096","2,460",82,494
Windsor,99,43,0,17
Winthrop,"3,795","3,754",84,325
Woburn,"6,486","5,662",209,888
Worcester,"28,535","31,590",152,"4,986"
Worthington,180,80,2,32
Wrentham,"1,187",586,5,144
Yarmouth,"4,152","1,400",0,193
